Name,Year,Ranking,Duration,Classification,Score
One Flew Over the Cuckoo's Nest,1975,M,133 min,Drama,8.7
The Godfather: Part II,1974,M,202 min,"Crime, Drama",9
The Godfather,1972,R,175 min,"Crime, Drama",9.2
The Room,2003,M,99 min,Drama,3.7
Fateful Findings,2013,,100 min,"Drama, Fantasy, Mystery",4.7
Call Me by Your Name,2017,M,132 min,"Drama, Romance",7.9
Moonlight,2016,M,111 min,Drama,7.4
Sorry to Bother You,2018,MA15+,111 min,"Comedy, Fantasy, Sci-Fi",7
The Shape of Water,2017,MA15+,123 min,"Adventure, Drama, Fantasy",7.3
Isle of Dogs,2018,PG,101 min,"Animation, Adventure, Comedy",7.9
"Love, Simon",2018,M,110 min,"Comedy, Drama, Romance",7.6
The First Purge,2018,MA15+,98 min,"Action, Horror, Sci-Fi",5.1
Incredibles 2,2018,PG,118 min,"Animation, Action, Adventure",7.7
Jurassic World: Fallen Kingdom,2018,M,128 min,"Action, Adventure, Sci-Fi",6.2
Jurassic World: Fallen Kingdom,2018,M,128 min,"Action, Adventure, Sci-Fi",6.2
Hereditary,2018,MA15+,127 min,"Drama, Horror, Mystery",7.3
Action Point,2018,MA15+,85 min,Comedy,5.1
Solo: A Star Wars Story,2018,M,135 min,"Action, Adventure, Fantasy",7
Deadpool 2,2018,MA15+,119 min,"Action, Adventure, Comedy",7.7
Show Dogs,2018,PG,92 min,"Adventure, Comedy, Family",3.6
Life of the Party,2018,M,105 min,Comedy,5.6
Super Troopers 2,2018,MA15+,99 min,"Comedy, Crime, Mystery",6.1
Truth or Dare,2018,M,100 min,"Horror, Thriller",5.1
The Post,2017,M,116 min,"Biography, Drama, History",7.2
The Miracle Season,2018,PG,101 min,"Drama, Sport",6.5
Bad Samaritan,2018,R,110 min,"Crime, Horror, Thriller",6.4
Blockers,2018,MA15+,102 min,Comedy,6.2
Avengers: Infinity War,2018,M,149 min,"Action, Adventure, Sci-Fi",8.5
Rampage,2018,M,107 min,"Action, Adventure, Sci-Fi",6.1
I Feel Pretty,2018,M,110 min,"Comedy, Romance",5.5
A Quiet Place,2018,M,90 min,"Drama, Horror, Sci-Fi",7.5
Star Wars: Episode VIII - The Last Jedi,2017,M,152 min,"Action, Adventure, Fantasy",7.1
Apocalyptic,2014,MA15+,84 min,"Horror, Mystery",4.6
Jumanji: Welcome to the Jungle,2017,PG,119 min,"Action, Adventure, Comedy",6.9
Black Panther,2018,M,134 min,"Action, Adventure, Sci-Fi",7.3
Wish Upon,2017,M,90 min,"Drama, Fantasy, Horror",5
The Emoji Movie,2017,G,86 min,"Animation, Adventure, Comedy",3.2
Insidious: The Last Key,2018,M,103 min,"Horror, Mystery, Thriller",5.7
The Greatest Showman,2017,PG,105 min,"Biography, Drama, Musical",7.6
It Follows,2014,MA15+,100 min,"Horror, Mystery, Thriller",6.8
The Incredibles,2004,PG,115 min,"Animation, Action, Adventure",8
The Breakfast Club,1985,M,97 min,"Comedy, Drama",7.9
It,2017,MA15+,135 min,Horror,7.4
Justice League,2017,M,120 min,"Action, Adventure, Fantasy",6.4
Wonder Woman,2017,M,141 min,"Action, Adventure, Fantasy",7.4
The Adventures of Sharkboy and Lavagirl 3-D,2005,G,93 min,"Action, Adventure, Comedy",3.5
The Dark Knight,2008,M,152 min,"Action, Crime, Drama",9
Birdemic: Shock and Terror,2010,M,105 min,"Action, Comedy, Drama",1.8
Across the Universe,2007,M,133 min,"Drama, Fantasy, History",7.4
Unfriended: Dark Web,2018,MA15+,92 min,"Horror, Mystery, Thriller",5.9
Death of a Nation,2018,PG-13,108 min,"Documentary, History",4.6
Christopher Robin,2018,(Banned),104 min,"Adventure, Comedy, Drama",7.3
The Sandlot Kids,1993,PG,101 min,"Comedy, Drama, Family",7.8
Shutter Island,2010,MA15+,138 min,"Mystery, Thriller",8.1
Searching,2018,M,102 min,"Drama, Mystery, Thriller",7.7
A Star Is Born,2018,M,136 min,"Drama, Music, Romance",7.7
BlacKkKlansman,2018,MA15+,135 min,"Biography, Crime, Drama",7.5
The Hate U Give,2018,M,133 min,"Crime, Drama",7.3
Halloween,2018,MA15+,106 min,"Horror, Thriller",6.6
Smallfoot,2018,PG,96 min,"Animation, Adventure, Comedy",6.6
Beautiful Boy,2018,MA15+,120 min,"Biography, Drama",7.3
Bohemian Rhapsody,2018,M,134 min,"Biography, Drama, Music",8
Straight Outta Compton,2015,MA15+,147 min,"Biography, Drama, History",7.9
Fantastic Beasts: The Crimes of Grindelwald,2018,M,134 min,"Adventure, Family, Fantasy",6.6
Grown Ups,2010,PG,102 min,Comedy,5.9
17 Again,2009,PG,102 min,"Comedy, Drama, Fantasy",6.3
Four Holidays,2008,M,88 min,"Comedy, Drama, Romance",5.6
The Proposal,2009,PG,108 min,"Comedy, Drama, Romance",6.7
Christmas with the Kranks,2004,PG,99 min,"Comedy, Family",5.3
Home Alone,1990,PG,103 min,"Comedy, Family",7.6
The Grinch,2000,PG,104 min,"Comedy, Family, Fantasy",6.1
Beethoven's Christmas Adventure,2011,PG,90 min,"Comedy, Fantasy",4.4
"Three Billboards Outside Ebbing, Missouri",2017,MA15+,115 min,"Crime, Drama",8.2
The Drowning,2016,,95 min,"Drama, Thriller",4.4
Gnome Alone,2017,PG,85 min,"Animation, Adventure, Comedy",5.6
21,2008,M,123 min,"Crime, Drama, History",6.8
Cloudy with a Chance of Meatballs,2009,G,90 min,"Animation, Adventure, Comedy",6.9
Schindler's List,1993,M,195 min,"Biography, Drama, History",8.9
Elf,2003,G,97 min,"Comedy, Family, Fantasy",6.9
Green Book,2018,M,130 min,"Biography, Comedy, Drama",8.2
Spider-Man: Into the Spider-Verse,2018,PG,117 min,"Animation, Action, Adventure",8.5
Aquaman,2018,M,143 min,"Action, Adventure, Fantasy",7.1
Captain Ron,1992,M,90 min,"Adventure, Comedy",5.8
Black Mirror: Bandersnatch,2018,MA15+,90 min,"Drama, Mystery, Sci-Fi",7.2
Holmes & Watson,2018,M,90 min,"Adventure, Comedy, Crime",3.8
Welcome to Marwen,2018,M,116 min,"Biography, Comedy, Drama",6.1
Ralph Breaks the Internet,2018,PG,112 min,"Animation, Adventure, Comedy",7.1
Escape Room,2019,M,99 min,"Action, Adventure, Horror",6.3
Bird Box,2018,MA15+,124 min,"Drama, Horror, Sci-Fi",6.6
A Dog's Way Home,2019,PG,96 min,"Adventure, Drama, Family",6.6
I Now Pronounce You Chuck & Larry,2007,M,115 min,"Comedy, Romance",5.9
The Switch,2010,M,101 min,"Comedy, Drama, Romance",6.1
Glass,2019,M,129 min,"Drama, Sci-Fi, Thriller",6.7
Stan & Ollie,2018,PG,98 min,"Biography, Comedy, Drama",7.2
Abducted in Plain Sight,2017,M,91 min,"Documentary, Crime",6.8
The Favourite,2018,MA15+,119 min,"Biography, Drama, History",7.6
Mary Poppins Returns,2018,G,130 min,"Comedy, Family, Fantasy",6.8
The Kid Who Would Be King,2019,PG,120 min,"Action, Adventure, Family",6
Cool Cat Saves the Kids,2015,,75 min,"Comedy, Family, Musical",4.6
The Upside,2017,M,126 min,"Comedy, Drama",6.8